Popup_Authentication_DescriptionNetwork,"We were unable to authenticate you, please ensure you have a network connection","Мы не смогли проверить вашу аутентификацию, пожалуйста, убедитесь, что у вас есть подключение к сети",我们无法验证您的身份，请确保您有网络连接
Popup_Authentication_Ok,Okay,Окей,好的
Popup_Authentication_Cancel,Close,Закрыть,关闭
,,,
Popup_Balance_Title,Plugin access denied,Доступ к плагину отклонен,插件禁止访问
Popup_Balance_Description,"Sorry, your current plan does not provide access to the Unity Playworks Plugin. Please reach out to https://luna.is.com/tech-support if you have any questions","Ваш текущий план не предоставляет доступа к Unity Playworks Plugin. Пожалуйста, если есть вопросы, свяжитесь с поддержкой https://luna.is.com/tech-support",抱歉，您现在的计划并未启用 Unity Playworks Plugin 插件。如有疑问请联系 https://luna.is.com/tech-support 。
Popup_Balance_Ok,Okay,Окей,好的
Popup_Balance_Cancel,Close,Закрыть,关闭
,,,
Popup_CancelledExport_Title,Build Cancelled,Сборка отменена,取消构建
Popup_CancelledExport_Description,The build was stopped early,Сборка была остановлена ​до окончания,建造已提前停止
Popup_CancelledExport_Ok,Build Settings,Настройки сборки,构建设置
Popup_CancelledExport_Cancel,Cancel,Отмена,取消
,,,
Popup_ShouldCancelBuild_Title,Cancel Build,Отменить сборку,取消构建
Popup_ShouldCancelBuild_Description,Would you like to cancel the build?,Хотите отменить сборку?,您是否要取消构建？
Popup_ShouldCancelBuild_Ok,Yes,Да,是
Popup_ShouldCancelBuild_Cancel,No,Нет,否
,,,
Popup_CodeBundle_Title,Code compilation failed,Компиляция кода не удалась,代码编译失败
Popup_CodeBundle_Description,Code failed to compile. Please fix all errors in Solution and try to rebuild.,Код не удалось скомпилировать. Исправьте все ошибки в решении и попробуйте пересобрать билд.,代码编译失败。请修复解决方案中的所有错误，然后尝试重建。
Popup_CodeBundle_Ok,Open,Открыть,打开
Popup_CodeBundle_Cancel,Cancel,Отмена,取消
,,,
Popup_FileAlreadyExists_Title,Such file already exists!,Такой файл уже существует!,该文件已存在!
Popup_FileAlreadyExists_Description,File at: {0} already exists.Overwrite it?,Файл в {0} уже существует. Перезаписать его?,文件位置：{0} 已存在。是否覆盖？
Popup_FileAlreadyExists_Yes,Yes,Да,是
Popup_FileAlreadyExists_No,No,Нет,否
,,,
Popup_FileOutOfProject_Title,This file is outside of current project directory!,Этот файл находится вне проекта,此文件在当前项目目录外！
Popup_FileOutOfProject_Description,"Files from not project directory will not be included in the project build and won't be loaded. Please, move it to: {0} directory","Файл не из папки проекта не может быть и включен и загружен. Пожалуйста, переместите его в {0} папку",非项目目录中的文件将不会包含在项目构建中，也不会加载。请将其移至：{0} 目录
Popup_FileOutOfProject_Copy,Copy file to project,Скопировать файл в проект,将文件复制到项目
Popup_FileOutOfProject_Cancel,Cancel,Отмена,取消
,,,
Popup_Login_Title,Cannot sign in to Unity Playworks,Не удается войти в Unity Playworks,无法登录 Unity Playworks
Popup_Login_TitleLoginFailed,Sign in failed,Ошибка входа,登录失败
Popup_Login_Description,Please check Unity Playworks email and password.,"Пожалуйста, проверьте электронную почту и пароль для входа в Unity Playworks.",请查看 Unity Playworks 电子邮件和密码。
Popup_Login_DescriptionNetwork,Please ensure you have a network connection.,"Пожалуйста, убедитесь, что у вас есть подключение к сети.",请确保您有网络连接。
Popup_Login_DescriptionLoginWithGoogle,Your company has disabled sign in with email and password. Please sign in with your Google account.,"Для вашей компании отключена возможность войти с использованием электронной почты и пароля. Пожалуйста, войдите используя свой аккаунт Google.",您的公司已禁止使用电子邮件和密码登录。请使用您的 Google 账户登录。
Popup_Login_Ok,Okay,Окей,好的
Popup_Login_Cancel,Cancel,Отмена,取消
,,,
Popup_NotAcceptable_Title,"Sorry, you've reached plan limitations","К сожалению, вы достигли лимита своего плана",抱歉，您已达到了计划上限
Popup_NotAcceptable_Description,You've reached the maximum number of apps you can upload to Creative Library within your company’s plan. Please visit Creative Library for more information.,"Вы достигли максимального количества приложений, которые вы можете загрузить на Creative Library в рамках вашей компании. Пожалуйста, посетите Creative Library для получения дополнительной информации.",您已经达到公司计划中可以上传到 Creative Library 的应用程序的最大数量。请访问 Creative Library 了解更多信息。
Popup_NotAcceptable_Ok,Open,Открыть,打开
Popup_NotAcceptable_Cancel,Cancel,Отмена,取消
,,,
Popup_PackageUploaded_Title,Package uploaded,Пакет загружен,上传的包
Popup_PackageUploaded_Description,Package has been uploaded to Creative Library,Пакет был загружен на Creative Library,包已上传到 Creative Library
Popup_PackageUploaded_Ok,Go to Creative Library,Перейти в Creative Library,前往 Creative Library
Popup_PackageUploaded_Cancel,Close,Закрыть,关闭
,,,
Popup_UnityBinPath_Title,Unity binary not found,Ошибка исполняемого файла Unity,找不到 Unity 二进制文件
Popup_UnityBinPath_Description,Failed to find an expected unity binary. Try setting 'Use MSBuild' under 'Advanced settings' and specifying a path to MSBuild binary,Не удалось построить Unity Playworks Plugin. Попробуйте установить «Use MSBuild» в разделе «Дополнительные настройки» и указать путь к  двоичному файлу MSBuild ,"未能找到预期的 Unity 二进制文件。尝试在 ""高级"" 下设置 ""使用 MSBuild""，并指定 MSBuild 二进制路径"
Popup_UnityBinPath_Ok,Open,Открыть,打开
Popup_UnityBinPath_Cancel,Cancel,Отмена,取消
,,,
Popup_OptimalSettings_Title,Set optimal settings,Применить оптимальные настройки,设置优化设定
Popup_OptimalSettings_Description,It changes default parameters to optimal and enables some options in 'Advanced settings'. For more detailed information please check documentation,"Установить настройкам по умолчанию оптимальные значения и включить некоторые настройки в «Дополнительных настройках». Для более детальной информации, пожалуйста, ознакомьтесь с документацией",它会将默认参数调整至最优设定并启用 '高级设置' 中的一些选项。详细信息请参考说明。
Popup_OptimalSettings_Ok,Okay,Окей,好的
Popup_OptimalSettings_Cancel,Cancel,Отмена,取消
Popup_OptimalSettings_Docs,Open documentation,Открыть документацию,打开文档
,,,
Popup_PathIncorrect_Title,Invalid symbols in path,Путь содержит невалидные символы,路径中包含无效的字符
Popup_PathIncorrect_Description,"{0}
Unity Playworks Plugin doesn't support work with files with some special symbols in the path:  {1}
Please change your path to not use special symbols. e.g.: {2}
And then reopen the project.","{0}
Unity Playworks Plugin не поддерживает работу с файлами с некоторыми специальными символами в пути: {1}
Пожалуйста, измените свой путь так, чтобы не использовать эти специальные символы. например: {2}
А затем снова откройте проект.","{0}
Unity Playworks Plugin 不支持在路径中使用特殊字符: {1}
请更改文件或文件夹名，以避免使用特殊字符，比如: {2}
然后重新打开项目。"
Popup_PathIncorrect_Ok,Okay,Окей,好的
Popup_PathIncorrect_Cancel,Cancel,Отмена,取消
,,,
Popup_AssetsExporting_Title,Asset export,Экспорт ассетов,资源导出
Popup_AssetsExporting_Description,Collecting assets...,Сбор ассетов...,正在收集资源...
,,,
Popup_EnableLunaCompilerV2_Title,Enable Playable Compiler v2?,Включить Playable Compiler v2?,启用 Playable 编译器 v2?
Popup_EnableLunaCompilerV2_Description,Enabling Playable Compiler v2 could resolve code issues related to C# version. Enable Playable Compiler v2?,"Включение Playable Compiler v2 может исправить ошибки кода, связанные с версией C#. Включить Playable Compiler v2?",启用 Playable 编译器 v2 能够解决因 C# 版本导致的代码问题。 启用 Playable 编译器 v2?
Popup_EnableLunaCompilerV2_Ok,Okay,Окей,好的
Popup_EnableLunaCompilerV2_Cancel,Cancel,Отмена,取消
,,,
HelpBox_InstallLink_Message,You have incorrect {0} install link. Please change it,"У Вас указана неверная {0} ссылка на скачивание игры. Пожалуйста, исправьте ее",{0} 安装链接不正确。请进行更改
HelpBox_InstallLinks_Message,You have incorrect iOS and Android install links. Please change them,"У Вас указаны неверные IOS и Android ссылки на скачивание игры. Пожалуйста, исправьте их",iOS 和 Android 安装链接不正确。请进行更改
,,,
LunaToolbar_Building,Building...,Сборка...,构建中...
LunaToolbar_BuildForDevelop,Build Playable for develop,Собрать Develop билд,构建 Playable Develop 版本
,,,
LunaProjectBrowser_ShowIncludesExcludes,Show included and excluded files in the Unity Playworks Plugin,Показать включенные и исключенные из сборки ассеты,显示 Unity Playworks Plugin 包含文件和排除文件
LunaProjectBrowser_HideIncludesExcludes,Hide included and excluded files in the Unity Playworks Plugin,Спрятать показ включенных и исключенных из сборки ассетов,隐藏 Unity Playworks Plugin 包含文件和排除文件
LunaProjectBrowser_ForceIncludedFile,Force included files in Unity Playworks Plugin,Принудительно включить файлы в сборку,强制在 Unity Playworks Plugin 中包含
LunaProjectBrowser_ForceExcludedFile,Force excluded files from Unity Playworks Plugin,Принудительно исключить файлы из сборки,强制从 Unity Playworks Plugin 中排除
LunaProjectBrowser_CSIncludedFile,By default all scripts are included in the Unity Playworks Plugin,По умолчанию все скрипты включены в сборку,默认情况下，所有脚本均在 Unity Playworks Plugin 中包含
LunaProjectBrowser_CSExcludedFile,Force excluded from the Unity Playworks Plugin,Принудительно исключено из сборки,强制从 Unity Playworks Plugin 中排除
LunaProjectBrowser_ResourcesIncludedFile,All resources files are included in the Unity Playworks Plugin,Все файлы из папки Resources включены в сборку,所有资源文件均在 Unity Playworks Plugin 中包含
LunaProjectBrowser_ResourcesExcludedFile,By default resources files are excluded from the Unity Playworks Plugin,По умолчанию все файлы из папки Resources исключены из сборки,默认情况下，会将资源文件从 Unity Playworks Plugin 中排除
LunaProjectBrowser_StreamingAssetsIncludedFile,All streaming assets are included in the Unity Playworks Plugin,Все Streaming Assets включены в сборку,所有流媒体资源均在 Unity Playworks Plugin 中包含
LunaProjectBrowser_StreamingAssetsExcludedFile,By default streaming assets are excluded from the Unity Playworks Plugin,По умолчанию Streaming Assets исключены из сборки,默认情况下，流媒体资源不在 Unity Playworks Plugin 中包含
LunaProjectBrowser_NotIncludedInBuild,Not included in the last Unity Playworks Plugin build,Не включено в последнюю сборку,不在上一次 Unity Playworks Plugin 构建中包含
LunaProjectBrowser_IncludedInBuild,Included in the last Unity Playworks Plugin build,Включено в последнюю сборку,在上一次 Unity Playworks Plugin 构建中包含
LunaProjectBrowser_ExcludedInBuild,Referenced but not included in the last Unity Playworks Plugin build,"Ссылается, но не включено в последнюю сборку",已引用，但未在上一次 Unity Playworks Plugin 构建中包含
LunaProjectBrowser_ForceInclude,Force include,Принудительно включить,强制包含
LunaProjectBrowser_ForceExclude,Force exclude,Принудительно исключить,强制排除
LunaProjectBrowser_AddToBuildScenes,Add to build scenes,Добавить к сценам,添加到构建场景
LunaProjectBrowser_SetAsStartupScene,Set as startup scene,Сделать стартовой,设置为启动场景
,,,
EditorTab_AdNetworkSettings_GlobalSettingsTitle,Global settings,Общие настройки,全局设置
EditorTab_AdNetworkSettings_AppName,Application Name,Имя приложения,应用程序名称
EditorTab_AdNetworkSettings_IosLink,iOS install game link,IOS ссылка на игру,iOS 安装游戏链接
EditorTab_AdNetworkSettings_AndroidLink,Android install game link,Android ссылка на игру,Android 安装游戏链接
EditorTab_AdNetworkSettings_FacebookTitle,Facebook,Facebook,FaceBook
EditorTab_AdNetworkSettings_FbAssetId,Asset ID,Asset ID,资源 ID
EditorTab_AdNetworkSettings_FbPackageType,Package type,Тип упаковки,包类型
EditorTab_AdNetworkSettings_IronSourceTitle,ironSource,ironSource,ironSource
EditorTab_AdNetworkSettings_IsApiType,API type,Тип API,API 类型
EditorTab_AdNetworkSettings_IsApiMode,API mode,Режим API,API 模式
EditorTab_AdNetworkSettings_IsVersionCode,Version code,Код версии,版本代码
EditorTab_AdNetworkSettings_IsAppGenre,Application Genre,Жанр приложения,应用游戏类型
EditorTab_AdNetworkSettings_IsPackageType,Package type,Тип упаковки,包类型
EditorTab_AdNetworkSettings_TikTokTencentTitle,TikTok & Tencent,TikTok и Tencent,TikTok (抖音) 和 Tencent (腾讯)
EditorTab_AdNetworkSettings_TttOrientation,Orientation,Ориентация,布局方向
EditorTab_AdNetworkSettings_TikTokTitle,TikTok,TikTok,TikTok (抖音)
EditorTab_AdNetworkSettings_TtLanguage,Supported Languages,Поддерживаемые языки,支持的语言
,,,
Sections_Settings_Name,Settings,Настройки,设置
Sections_Assets_Name,Assets,Ассеты,资源
Sections_Code_Name,Code,Код,代码
Sections_Develop_Name,Build & upload,Собрать и загрузить,构建与上传
Sections_Playground_Name,Create,Create,Create
Sections_Expert_Name,Expert,Эксперт,专家
Sections_SizeBreakdown_Name,Size breakdown,Анализ размера,大小细分
Sections_PluginUpdates_Name,Plugin Updates,Обновления плагина,插件更新
Sections_BuildButton,Build {0},Собрать {0},构建 {0}
Sections_AlternativeBuildButton,Build for {0},Собрать для {0},为 {0} 构建
Sections_CancelBuildButton,Cancel Build,Прервать,取消构建
Sections_RuntimeAnalysis_Name,Runtime Analysis,Анализ кода,运行时分析
,,,
EditorTab_Basic_Name,Basic,Основные,基本
EditorTab_Advanced_Name,Advanced,Дополнительные,高级
EditorTab_AdNetworkSettings_Name,Ad Network,Рекламные сети,广告网络
EditorTab_Account_Name,Account,Аккаунт,账户
,,,
Basic_ScenesInBuild,Scenes in Build,Сцены в сборке,构建中的场景
Basic_StartupScene,Startup Scene,Стартовая сцена,启动场景
Basic_ExportType,Export type,Тип экспорта,导出类型
Basic_ExportType_Resources,Resources,Ресурсы,Resources
Basic_ExportType_StreamingAssets,Streaming Assets,Streaming Assets,Streaming Assets
Basic_ProjectSettings,Project settings,Настройки проекта,项目设置
Basic_ProjectSettings_AutoInstantiate,Auto-instantiate Prefabs,Автораспаковка префабов,自动实例化预置
Basic_ProjectSettings_OptimiseSize,Optimise build size,Оптимизировать размер билда,优化构建大小
Basic_ProjectSettings_RealtimeShadows,Realtime Shadows,Тени в реальном времени,实时阴影
Basic_ProjectSettings_MecanimWASM,Mecanim (Avatar) - Experimental,Mecanim (Avatar) - Experimental,Mecanim (Avatar) - Experimental
Basic_ProjectSettings_BakeReferenceAmbientProbe,Bake Reference Ambient Probe,Запекать вспомогательные сферические гармоники,Bake Reference Ambient Probe
Basic_ProjectSettings_EnableLunaCompilerV2,Playable Compiler v2,Playable компилятор v2,Playable 编译器 v2
Basic_ProjectSettings_UnsupportedLunaCompilerV2,Playable Compiler v2 (Unsupported on Unity 2020.1 and lower),Playable Compiler v2 (Не поддерживается в Unity 2020.1 и ниже),Playable 编译器 v2 (不支持 Unity 2020.1 及以下版本)
Basic_ProjectSettings_DynamicBatching,Dynamic Batching,Динамический Батчинг,动态合批
Basic_ProjectSettings_WebGL,WebGL Configuration,Конфигурация WebGL,WebGL Configuration
,,,
Universal_Browse,Browse,Обзор,浏览
Universal_Cancel,Cancel,Отмена,取消
,,,
Advanced_GameSettings,Game settings,Настройки игры,游戏设置
Advanced_UsePlayerPrefs,Use PlayerPrefs,Применить PlayerPrefs,使用 PlayerPrefs
Advanced_CompressResources,Compress resources,Сжатие ресурсов,压缩资源
Advanced_PreferWebGl2,WebGL2,WebGL2,WebGL2
Advanced_CodeMinification,Code minification,Минификация кода,代码最简化
Advanced_DeadCodeElimination,Eliminate dead code,Исключить неиспользуемый код (DCE),清除死代码
Advanced_GenericCheck,Additional Generic Check,Проверка C# Generic-ов,额外C#泛型检查
Advanced_DisableAntiAliasing,Force disable Anti Aliasing,Отключить сглаживание,强制禁用抗锯齿
Advanced_DCE_RootClasses,DCE root classes,Принудительно сохраняемые классы при DCE,DCE 根类
Advanced_DCE_RootClasses_Tooltip,Comma separated list of fully specified class names.,"Список полностью заданных имен классов, разделенные запятой.",完全指定类名的以逗号分隔的列表。
Advanced_Preloader,Preloader,Экран загрузки,加载界面
Advanced_Preloader_Active,Active,Использовать,启用
Advanced_Preloader_Icon,Preloader Icon,Иконка загрузки,图标
Advanced_Preloader_BrowseIconTitle,Choose Path to Preloader Icon,Выберите путь к иконке,选择图标的路径
Advanced_Preloader_Background,Preloader Background,Загрузочный фон,背景
Advanced_Preloader_BrowseBackgroundTitle,Choose Path to Preloader Background,Выберите путь к изображению,选择背景的路径
Advanced_Tools,Tools and Binaries,Инструменты сборки,工具和二进制文件
Advanced_Tools_Msbuild,MSBuild Tools,MSBuild инструменты,MSBuild 工具
Advanced_Tools_BrowseMsbuildTitle,Choose Path to MSBuild Tools,Выберите путь к MSBuild инструментам,选择 MSBuild 工具的路径
,,,
Account_Account,Account,Аккаунт,账户
Account_SignedWithEmail,You are signed in with email {0},Вы вошли в систему с адресом электронной почты {0},您已使用邮箱 {0} 登录
Account_SignOut,Sign out,Выход,登出
Account_CopyToken,Copy token,Скопировать токен,复制令牌
,,,
LoginForm_SignInAsking,Sign in using your Unity Playworks credentials,Используйте свои реквизиты Unity Playworks,使用 Unity Playworks 账户信息进行登陆
LoginForm_Email,Email,Электронная почта,电子邮件
LoginForm_Password,Password,Пароль,密码
LoginForm_ForgotPassword,Forgot your password?,Забыли Ваш пароль?,忘记密码？
LoginForm_SignIn,Sign in,Войти,登录
LoginForm_SignInWithGoogle,Sign in with Google,Войти с помощью Google,使用 Google 账户登录
LoginForm_SsoWaitingScreenMessage,Please sign in using the browser,"Пожалуйста, авторизуйтесь в браузере",请使用浏览器登录
,,,
MultiColumnTree_Name,Name,Имя,名称
MultiColumnTree_Size,Size,Размер,尺寸
MultiColumnElement_ExpandAll,Expand All,Расширить все,全部展开
MultiColumnElement_CollapseAll,Collapse All,Свернуть все,全部折叠
,,,
Assets_AssetsIncludedExcludeTab,Assets,Ассеты,资源
Assets_TexturesTab,Textures,Текстуры,纹理
Assets_SoundsTab,Sounds,Звуки,音效
Assets_FontsTab,Fonts,Шрифты,字体
Assets_MeshesTab,Meshes,Меши,网格
Assets_AnimationsTab,Animations,Анимации,动画
,,,
InclExclAssets_ForceExclude,Force-exclude Assets,Принудительно исключить ассеты,强制排除资源
InclExclAssets_ForceInclude,Force-include Assets,Принудительно включить ассеты,强制包含资源
,,,
TexturesTab_DefaultSettings,Default Texture settings,Настройки текстур по умолчанию,默认纹理贴图设置
TexturesTab_MaxSize,Max size,Максимальный размер,最大尺寸
TexturesTab_DimensionsSeparator,x,x,x
TexturesTab_Pixels,pixels,пикселей,像素
TexturesTab_Format,Format,Формат,格式
TextureTab_TextureFormatDefault,Default,По умолчанию,默认
TexturesTab_Quality,Quality,Качество,质量
TexturesTab_Compression,Compression,Компрессия,压缩
TextureTab_CompressionNone,None,Ничего,无
TexturesTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
TexturesTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
TexturesTab_PerTextureSettings,Per-texture settings,Настройки текстуры,逐纹理贴图设置
TexturesTab_WEBPWarning,WebP requires iOS 14 or higher,WebP требуется iOS 14 или выше,WebP 需要 iOS 14 或更高版本
TexturesTab_OverrideSettings, {0} Texture settings, {0} Настройки текстуры, {0} 纹理贴图设置
,,,
SoundsTab_DefaultSoundSettings,Default Sound settings,Настройки звука по умолчанию,默认音效设置
SoundsTab_Format,Format,Формат,格式
SoundsTab_DefaultChannel,Default,По умолчанию,默认
SoundsTab_Bitrate,Bitrate,Битрейт,比特率
SoundsTab_BitrateSpeed,kb/s,kb/s,kb/s
SoundsTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
SoundsTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
SoundsTab_PerTextureSettings,Per-sound settings,Настройки звука,逐音效设置
SoundsTab_Cropping,Cropping,Обрезать,剪裁
SoundsTab_StartCroppingTime,from,с,从
SoundsTab_EndCroppingTime,to,до,到
SoundsTab_Play,Play,Воспроизвести,播放
SoundsTab_Stop,Stop,Остановить,停止
SoundTab_OverrideSettings,{0} Sound settings, {0} Настройки звука,{0} 音效设置
SoundsTab_LunaCompressedSoundPreview,Compressed build version,Сжатая версия сборки,Compressed build version
,,,
FontTab_DefaultFontSettings,Default Font settings,Настройки шрифта по умолчанию,默认字体设置
FontTab_Alphabet,Alphabet,Алфавит,字母表
FontTab_GlyphSize,Glyph size,Размер символа,字形大小
FontTab_TextureSize,Texture size,Размер текстуры,纹理贴图大小
FontTab_DimensionsSeparator,x,x,x
FontTab_Pixels,pixels,пикселей,像素
FontTab_PerFontSettings,Per-font settings,Настройки шрифта,逐字体设置
FontTab_OverrideSettings,{0} Font settings,{0} Настройки шрифта,{0} 字体设置
,,,
Meshes_DefaultMeshSettings,Default Mesh settings,Настройки меша по умолчанию,默认网格设置
